id;qmass_yaml_id;qmet_yaml_id
1;MA-08;QM-01
2;MA-27;QM-01
3;MA-8;QM-02
4;MA-27;QM-02
5;MA-08;QM-02
6;MA-7;QM-03
7;MA-27;QM-03
8;MA-07;QM-03
9;MA-27;QM-04
10;MA-8;QM-05
11;MA-08;QM-05
12;MA-27;QM-06
13;MA-27;QM-07
14;MA-11;QM-08
15;MA-11;QM-09
16;MA-27;QM-09
17;MA-8;QM-10-1
18;QB-12;QM-10-1
19;MA-12;QM-10-1
20;MA-14;QM-10-1
21;MA-16;QM-10-1
22;MA-23;QM-10-1
23;MA-08;QM-10-1
24;MA-10;QM-10-1
25;MA-14;QM-10-2
26;MA-16;QM-10-2
27;MA-23;QM-10-2
28;QB-0;QM-10-3
29;MA-08;QM-10-3
30;QB-12;QM-10-3
31;MA-12;QM-10-3
32;MA-14;QM-10
33;MA-16;QM-10
34;MA-23;QM-10
35;MA-05;QM-10
36;MA-8;QM-11-1
37;MA-12;QM-11-1
38;MA-08;QM-11-1
39;MA-24;QM-11-1
40;MA-8;QM-11-2
41;MA-12;QM-11-2
42;MA-08;QM-11-2
43;MA-24;QM-11-2
44;MA-8;QM-11-3
45;MA-12;QM-11-3
46;MA-08;QM-11-3
47;MA-8;QM-11-4
48;MA-12;QM-11-4
49;MA-08;QM-11-4
50;MA-8;QM-11-5
51;MA-12;QM-11-5
52;MA-08;QM-11-5
53;MA-8;QM-11
54;MA-12;QM-11
55;MA-08;QM-11
56;MA-24;QM-11
57;MA-13;QM-12
58;MA-14;QM-12
59;MA-21;QM-12
60;MA-12;QM-13
61;MA-20;QM-15
62;MA-21;QM-15
63;MA-22;QM-15
64;MA-15;QM-16-1
65;MA-07;QM-16-1
66;MA-06;QM-16-1
67;MA-15;QM-16-2
68;MA-07;QM-16-2
69;MA-15;QM-16-3
70;MA-07;QM-16-3
71;MA-15;QM-16-4
72;MA-07;QM-16-4
73;MA-06;QM-16-4
74;MA-15;QM-16
75;MA-07;QM-16
76;MA-19;QM-17
77;MA-10;QM-18
78;QM-10;QM-19
79;QM-10;QM-20
80;QM-10;QM-21
81;MA-16;QM-22
82;QM-10;QM-22
83;MA-27;QM-23
84;MA-14;QM-24
85;QM-10;QM-24
86;MA-24;QM-25-1
87;MA-12;QM-25
88;MA-14;QM-25
89;QM-10;QM-25
90;MA-12;QM-26
91;MA-14;QM-26
92;QM-10;QM-26
93;MA-24;QM-26
94;MA-12;QM-27
95;MA-14;QM-27
96;QM-10;QM-27
97;MA-10;QM-28
98;MA-12;QM-28
99;MA-14;QM-28
100;QM-10;QM-28
101;MA-10;QM-29
102;MA-12;QM-29
103;MA-14;QM-29
104;MA-15;QM-30
105;MA-06;QM-30
106;MA-20;QM-31
107;MA-2;QM-32
108;MA-1;QM-32
109;MA-02;QM-32
110;MA-01;QM-32
111;MA-5;QM-34
112;MA-4;QM-34
113;MA-2;QM-34
114;MA-05;QM-34
115;MA-04;QM-34
116;MA-02;QM-34
117;MA-01;QM-34
118;MA-08;QM-35
119;MA-14;QM-36
120;MA-10;QM-37
121;MA-10;QM-38
122;MA-04;QM-38
123;MA-11;QM-39
124;MA-10;QM-39
125;MA-13;QM-40
126;MA-11;QM-41
127;MA-14;QM-42
128;MA-22;QM-43
129;MA-06;QM-43
130;MA-02;QM-43
131;MA-07;QM-43
132;MA-16;QM-44-1
133;MA-16;QM-44-2
134;MA-16;QM-44-3
135;MA-16;QM-44-4
136;MA-16;QM-44-5
137;MA-16;QM-44-6
138;MA-16;QM-44-7
139;MA-16;QM-44-8
140;MA-16;QM-44-9
141;MA-16;QM-44
142;MA-6;QM-45
143;MA-06;QM-45
144;QM-10;QM-46
145;QM-10;QM-47
146;QM-10;QM-48
147;QM-10;QM-49
148;MA-08;QM-49
149;QM-10;QM-50
150;MA-08;QM-50
151;MA-8;QM-51-10
152;MA-08;QM-51-10
153;MA-03;QM-51-10
154;MA-9;QM-51-11
155;MA-8;QM-51-11
156;MA-08;QM-51-11
157;MA-09;QM-51-11
158;QM-51;QM-51-01
159;MA-27;QM-51-01
160;QM-51;QM-51-02
161;MA-27;QM-51-02
162;QM-51;QM-51-03
163;MA-27;QM-51-03
164;QM-51;QM-51-04
165;MA-27;QM-51-04
166;QM-51;QM-51-05
167;MA-27;QM-51-05
168;MA-24;QM-51-05
169;QM-51;QM-51-06
170;MA-27;QM-51-06
171;QM-51;QM-51-07
172;MA-27;QM-51-07
173;QM-51;QM-51-08
174;MA-27;QM-51-08
175;QM-51;QM-51-09
176;MA-27;QM-51-09
177;MA-3;QM-51
178;MA-9;QM-51
179;MA-27;QM-51
180;MA-03;QM-51
181;MA-09;QM-51
182;MA-9;QM-52-01
183;QM-52;QM-52-01
184;MA-09;QM-52-01
185;MA-9;QM-52-02
186;QM-52;QM-52-02
187;MA-09;QM-52-02
188;MA-9;QM-52-03
189;QM-52;QM-52-03
190;MA-09;QM-52-03
191;MA-9;QM-52-04
192;QM-52;QM-52-04
193;MA-09;QM-52-04
194;QM-52;QM-52-05
195;QM-52;QM-52-06
196;QM-52;QM-52-07
197;MA-03;QM-52-07
198;QM-52;QM-52-08
199;MA-3;QM-52
200;MA-03;QM-52
201;MA-16;QM-53-1
202;MA-13;QM-53-1
203;MA-16;QM-53-2
204;MA-16;QM-53
205;QM-52;QM-53
206;MA-14;QM-54-1
207;MA-14;QM-54-2
208;MA-14;QM-54-3
209;MA-14;QM-54
210;QM-10;QM-55
211;QM-19;QM-55
212;MA-23;QM-56-1
213;MA-23;QM-56-2
214;MA-23;QM-56-3
215;MA-23;QM-56-4
216;MA-23;QM-56-5
217;MA-33;QM-56-6
218;MA-23;QM-56
219;MA-14;QM-57-1
220;MA-04;QM-57-1
221;MA-30;QM-57-1
222;MA-30;QM-57-2
223;MA-25;QM-58-1
224;MA-25;QM-58-2
225;MA-25;QM-58-3
226;MA-25;QM-58
227;MA-17;QM-59-1
228;MA-17;QM-59-2
229;MA-17;QM-59-3
230;MA-18;QM-60
231;QM-61;QM-61-1
232;MA-14;QM-61-1
233;MA-15;QM-61-1
234;MA-14;QM-61-4
235;MA-14;QM-61-3
236;MA-15;QM-61-3
237;MA-14;QM-61
238;MA-18;QM-61
239;MA-20;QM-62
240;MA-26;QM-63-1
241;MA-26;QM-63-2
242;MA-26;QM-63-3
243;MA-26;QM-63
244;MA-05;QM-64
245;MA-20;QM-65
246;MA-18;QM-65
247;MA-22;QM-65
248;MA-18;QM-67
249;MA-28;QM-68-1
250;MA-28;QM-68-2
251;MA-28;QM-68-3
252;MA-28;QM-68-4
253;MA-28;QM-68-5
254;MA-28;QM-68-6
255;MA-29;QM-69-1
256;MA-29;QM-69-2
257;MA-18;QM-70
258;MA-06;QM-70
259;MA-24;QM-71
